ieee_text,list_num,sentence_num
The BIRCH CANOE SLID on the SMOOTH PLANKS. ,1,0
GLUE the SHEET to the DARK BLUE BACKGROUND.,1,1
IT'S EASY to TELL the DEPTH of a WELL. ,1,2
These DAYS a CHICKEN LEG is a RARE DISH. ,1,3
RICE is OFTEN SERVED in ROUND BOWLS. ,1,4
The JUICE of LEMONS MAKES FINE PUNCH. ,1,5
The BOX was THROWN BESIDE the PARKED TRUCK. ,1,6
The HOGS were FED CHOPPED CORN and GARBAGE. ,1,7
FOUR HOURS of STEADY WORK FACED us. ,1,8
A LARGE SIZE in STOCKINGS is HARD to SELL. ,1,9
The BOY was THERE WHEN the SUN ROSE. ,2,10
A ROD is USED to CATCH PINK SALMON. ,2,11
The SOURCE of the HUGE RIVER is the CLEAR SPRING. ,2,12
KICK the BALL STRAIGHT and FOLLOW THROUGH.   ,2,13
HELP the WOMAN GET BACK to her FEET. ,2,14
A POT of TEA HELPS to PASS the EVENING. ,2,15
SMOKY FIRES LACK FLAME and HEAT. ,2,16
The SOFT CUSHION BROKE the MAN'S FALL. ,2,17
The SALT BREEZE CAME ACROSS from the SEA. ,2,18
The GIRL at the BOOTH SOLD FIFTY BONDS. ,2,19
The SMALL PUP GNAWED a HOLE in the SOCK. ,3,20
The FISH TWISTED and TURNED on the BENT HOOK. ,3,21
PRESS the PANTS and SEW a BUTTON on the VEST. ,3,22
The SWAN DIVE was FAR SHORT of PERFECT. ,3,23
The BEAUTY of the VIEW STUNNED the YOUNG BOY. ,3,24
TWO BLUE FISH SWAM in the TANK. ,3,25
HER PURSE was FULL of USELESS TRASH. ,3,26
The COLT REARED and THREW the TALL RIDER. ,3,27
"It SNOWED, RAINED, and HAILED the SAME MORNING. ",3,28
READ VERSE OUT LOUD for PLEASURE. ,3,29
HOIST the LOAD to YOUR LEFT SHOULDER. ,4,30
TAKE the WINDING PATH to REACH the LAKE. ,4,31
NOTE CLOSELY the SIZE of the GAS TANK. ,4,32
WIPE the GREASE OFF his DIRTY FACE. ,4,33
MEND the COAT BEFORE you GO OUT. ,4,34
The WRIST was BADLY STRAINED and HUNG LIMP. ,4,35
